	cultivar	date	treatment	block	Mortierellomycota	Ascomycota	Basidiomycota
C31	Drought tolerant	Jun.7	75	4	76.90405539	17.65578635	3.808110781
C32	Drought sensitive	Jun.7	25	4	83.83440118	13.20847708	2.41498275
C33	Drought sensitive	Jun.7	0	5	61.5308642	30.91358025	5.185185185
C34	Drought tolerant	Jun.7	75	5	64.8715415	29.94071146	3.063241107
C35	Drought tolerant	Jun.7	0	5	57.19228868	33.36628769	6.524962926
C36	Drought tolerant	Jun.7	50	5	65.82716049	27.45679012	4
C37	Drought sensitive	Jun.7	25	5	56.24074988	35.76714356	4.982733103
C38	Drought tolerant	Jun.7	25	5	68.49382716	23.20987654	5.580246914
C39	Drought sensitive	Jun.7	50	5	72.224963	20.42427232	5.673408979
C40	Drought sensitive	Jun.7	75	5	80.61174149	14.50419339	3.058707449
C41	Drought sensitive	Jun.7	50	6	48.79131722	44.79526394	2.614701529
C42	Drought tolerant	Jun.7	75	6	57.79092702	35.40433925	3.944773176
C43	Drought sensitive	Jun.7	25	6	66.48595367	25.9733859	5.224248398
C44	Drought sensitive	Jun.7	0	6	72.80788177	18.71921182	7.24137931
C45	Drought tolerant	Jun.7	50	6	67.52221125	27.24580454	3.553800592
C46	Drought tolerant	Jun.7	0	6	61.23152709	31.97044335	4.876847291
C47	Drought sensitive	Jun.7	75	6	63.64084854	30.68574248	4.144055254
C48	Drought tolerant	Jun.7	25	6	74.96303598	21.78413011	2.513553475
D1	Drought sensitive	Jun.21	25	1	46.74234946	40.27640671	8.390918065
D2	Drought tolerant	Jun.21	0	1	17.1020207	74.96303598	5.766387383
D3	Drought tolerant	Jun.21	75	1	53.69458128	33.49753695	4.679802956
D4	Drought sensitive	Jun.21	0	1	54.1913215	27.81065089	11.83431953
D5	Drought sensitive	Jun.21	50	1	45.63824544	47.56037457	5.569245934
D6	Drought sensitive	Jun.21	75	1	43.44793224	46.18834081	6.626806178
D7	Drought tolerant	Jun.21	25	1	27.76679842	67.19367589	3.359683794
D8	Drought tolerant	Jun.21	50	1	45.83538689	48.6939379	3.94282898
D9	Drought tolerant	Jun.21	0	2	42.28684081	18.97486447	37.60473139
D10	Drought tolerant	Jun.21	75	2	38.14943097	58.3374567	1.632855022
D11	Drought sensitive	Jun.21	25	2	NA	NA	NA
D12	Drought sensitive	Jun.21	50	2	59.31034483	32.80788177	5.418719212
D13	Drought tolerant	Jun.21	25	2	38.77651702	56.53675382	3.94671929
D14	Drought tolerant	Jun.21	50	2	69.04879251	27.64908822	2.513553475
D15	Drought sensitive	Jun.21	75	2	65.32019704	32.16748768	1.773399015
D16	Drought sensitive	Jun.21	0	2	27.90123457	28	42.86419753
D17	Drought sensitive	Jun.21	75	3	64.97035573	26.08695652	5.632411067
D18	Drought tolerant	Jun.21	0	3	NA	NA	NA
D19	Drought sensitive	Jun.21	50	3	70.9486166	23.27075099	3.507905138
D20	Drought tolerant	Jun.21	25	3	49.0882208	46.8703795	2.168555939
D21	Drought sensitive	Jun.21	25	3	68.42364532	26.0591133	3.596059113
D22	Drought tolerant	Jun.21	50	3	62.90083868	31.62308831	3.453379378
D23	Drought sensitive	Jun.21	0	3	63.36291913	30.22682446	3.451676529
D24	Drought tolerant	Jun.21	75	3	40.5525407	55.25407005	3.108041441
D25	Drought tolerant	Jun.21	25	4	51.28205128	40.7790927	5.374753452
D26	Drought tolerant	Jun.21	50	4	66.20621608	28.9097188	3.453379378
D27	Drought sensitive	Jun.21	0	4	71.81638697	21.47087858	3.405725568
D28	Drought sensitive	Jun.21	75	4	61.06719368	26.08695652	6.867588933
D29	Drought tolerant	Jun.21	0	4	68.2938856	25.69033531	3.106508876
D30	Drought sensitive	Jun.21	50	4	61.51948693	32.06709423	4.489393192
D31	Drought tolerant	Jun.21	75	4	38.2642998	56.80473373	3.106508876
D32	Drought sensitive	Jun.21	25	4	49.11242604	45.41420118	3.846153846
D33	Drought sensitive	Jun.21	0	5	55.19960572	36.56973879	5.372104485
D34	Drought tolerant	Jun.21	75	5	42.87128713	50.64356436	4.108910891
D35	Drought tolerant	Jun.21	0	5	42.83596838	37.30237154	13.38932806
D36	Drought tolerant	Jun.21	50	5	44.89896501	50.46821094	2.907836373
D37	Drought sensitive	Jun.21	25	5	59.12228797	30.12820513	8.037475345
D38	Drought tolerant	Jun.21	25	5	31.24383021	50.09871668	16.73247779
D39	Drought sensitive	Jun.21	50	5	43.33003953	23.51778656	31.0770751
D40	Drought sensitive	Jun.21	75	5	70.33730159	21.37896825	5.654761905
D41	Drought sensitive	Jun.21	50	6	61.62561576	29.60591133	4.630541872
D42	Drought tolerant	Jun.21	75	6	33.619818	47.11830131	4.29726997
D43	Drought sensitive	Jun.21	25	6	58.56790123	29.48148148	8.296296296
D44	Drought sensitive	Jun.21	0	6	62.82306163	29.92047714	5.268389662
D45	Drought tolerant	Jun.21	50	6	52.53819616	41.59684574	4.139970429
D46	Drought tolerant	Jun.21	0	6	55.22167488	39.26108374	4.088669951
D47	Drought sensitive	Jun.21	75	6	61.22348298	31.42575234	5.72274297
D48	Drought tolerant	Jun.21	25	6	61.02614702	32.01776024	4.982733103
E1	Drought sensitive	Jul.5	25	1	NA	NA	NA
E2	Drought tolerant	Jul.5	0	1	NA	NA	NA
E3	Drought tolerant	Jul.5	75	1	53.3530572	38.60946746	4.930966469
E4	Drought sensitive	Jul.5	0	1	76.77514793	19.18145957	2.859960552
E5	Drought sensitive	Jul.5	50	1	52.04736063	40.15786877	4.785397139
E6	Drought sensitive	Jul.5	75	1	51.72754195	38.45014808	7.847976308
E7	Drought tolerant	Jul.5	25	1	67.04489393	27.03502713	4.193389245
E8	Drought tolerant	Jul.5	50	1	46.35108481	35.35502959	16.81459566
E9	Drought tolerant	Jul.5	0	2	66.78183613	25.32082922	5.478775913
E10	Drought tolerant	Jul.5	75	2	53.33993073	38.05047006	6.679861455
E11	Drought sensitive	Jul.5	25	2	47.16049383	31.90123457	11.01234568
E12	Drought sensitive	Jul.5	50	2	32.85714286	59.06403941	5.665024631
E13	Drought tolerant	Jul.5	25	2	56.6187407	34.8041646	6.494794249
E14	Drought tolerant	Jul.5	50	2	63.33992095	25	10.22727273
E15	Drought sensitive	Jul.5	75	2	60.46396841	32.52714709	5.182625864
E16	Drought sensitive	Jul.5	0	2	62.39526861	24.69196649	11.97634303
E17	Drought sensitive	Jul.5	75	3	61.90004948	21.67243939	15.09153884
E18	Drought tolerant	Jul.5	0	3	65.21953626	28.76171682	3.996053281
E19	Drought sensitive	Jul.5	50	3	70	16.40394089	13.15270936
E20	Drought tolerant	Jul.5	25	3	45.7635468	43.59605911	8.571428571
E21	Drought sensitive	Jul.5	25	3	74.92610837	19.60591133	4.778325123
E22	Drought tolerant	Jul.5	50	3	74.4691358	20.64197531	3.851851852
E23	Drought sensitive	Jul.5	0	3	57.26284585	34.7826087	5.484189723
E24	Drought tolerant	Jul.5	75	3	64.2962963	17.72839506	17.43209877
E25	Drought tolerant	Jul.5	25	4	71.38628515	25.06166749	2.318697583
E26	Drought tolerant	Jul.5	50	4	69.32938856	26.62721893	2.859960552
E27	Drought sensitive	Jul.5	0	4	64.84220907	26.33136095	7.347140039
E28	Drought sensitive	Jul.5	75	4	58.30458354	32.67619517	6.160670281
E29	Drought tolerant	Jul.5	0	4	78.71485944	15.93038822	3.882195448
E30	Drought sensitive	Jul.5	50	4	73.00492611	22.80788177	3.201970443
E31	Drought tolerant	Jul.5	75	4	75.27093596	20.04926108	2.955665025
E32	Drought sensitive	Jul.5	25	4	67.48768473	27.73399015	3.990147783
E33	Drought sensitive	Jul.5	0	5	58.25529818	33.95761459	5.717102021
E34	Drought tolerant	Jul.5	75	5	59.27021696	31.06508876	6.558185404
E35	Drought tolerant	Jul.5	0	5	61.16600791	31.7687747	3.903162055
E36	Drought tolerant	Jul.5	50	5	63.8875185	27.2323631	6.068080908
E37	Drought sensitive	Jul.5	25	5	63.20197044	29.75369458	5.073891626
E38	Drought tolerant	Jul.5	25	5	66.14095614	24.44553967	8.181370133
E39	Drought sensitive	Jul.5	50	5	58.46153846	35.98014888	4.267990074
E40	Drought sensitive	Jul.5	75	5	76.63043478	16.60079051	5.533596838
E41	Drought sensitive	Jul.5	50	6	55.47877591	33.46495558	4.787759131
E42	Drought tolerant	Jul.5	75	6	61.18226601	33.69458128	3.743842365
E43	Drought sensitive	Jul.5	25	6	56.95952616	36.17966436	6.071076012
E44	Drought sensitive	Jul.5	0	6	62.40118577	28.35968379	7.411067194
E45	Drought tolerant	Jul.5	50	6	80.2962963	14.07407407	4.938271605
E46	Drought tolerant	Jul.5	0	6	56.72745195	34.49975357	7.047806801
E47	Drought sensitive	Jul.5	75	6	66.1902415	25.82552982	6.259241005
E48	Drought tolerant	Jul.5	25	6	70.90729783	24.21104536	3.15581854
F1	Drought sensitive	Jul.19	25	1	52.61083744	37.63546798	4.137931034
F2	Drought tolerant	Jul.19	0	1	35.27093596	44.2364532	19.408867
F3	Drought tolerant	Jul.19	75	1	56.61401777	26.99901283	11.94471866
F4	Drought sensitive	Jul.19	0	1	54.14610069	35.14313919	3.8005923
F5	Drought sensitive	Jul.19	50	1	60.24630542	35.51724138	3.251231527
F6	Drought sensitive	Jul.19	75	1	45.45454545	47.23320158	4.644268775
F7	Drought tolerant	Jul.19	25	1	40.36471168	50.17249877	7.24494825
F8	Drought tolerant	Jul.19	50	1	41.91321499	49.60552268	4.487179487
F9	Drought tolerant	Jul.19	0	2	75.4679803	20.19704433	2.75862069
F10	Drought tolerant	Jul.19	75	2	62.78381046	31.73741362	3.356367226
F11	Drought sensitive	Jul.19	25	2	59.92102665	30.84896347	6.712734452
F12	Drought sensitive	Jul.19	50	2	66.88023657	27.84622967	4.189255791
F13	Drought tolerant	Jul.19	25	2	71.88735178	21.2944664	4.891304348
F14	Drought tolerant	Jul.19	50	2	50.61606703	43.42040414	4.287826516
F15	Drought sensitive	Jul.19	75	2	44.38423645	48.52216749	4.679802956
F16	Drought sensitive	Jul.19	0	2	53.10650888	36.43984221	8.530571992
F17	Drought sensitive	Jul.19	75	3	65.33333333	29.18518519	3.160493827
F18	Drought tolerant	Jul.19	0	3	66.92952193	12.81419418	2.217841301
F19	Drought sensitive	Jul.19	50	3	69.58024691	22.61728395	5.283950617
F20	Drought tolerant	Jul.19	25	3	65.20453425	30.40906851	2.809265648
F21	Drought sensitive	Jul.19	25	3	68.0137999	24.39625431	6.653523903
F22	Drought tolerant	Jul.19	50	3	64.18719212	31.18226601	3.645320197
F23	Drought sensitive	Jul.19	0	3	65.13806706	29.93096647	3.550295858
F24	Drought tolerant	Jul.19	75	3	48.29292429	22.71152895	27.11528946
F25	Drought tolerant	Jul.19	25	4	66.37037037	27.80246914	3.407407407
F26	Drought tolerant	Jul.19	50	4	61.01527846	33.07047807	4.435682602
F27	Drought sensitive	Jul.19	0	4	74.0266141	21.63627403	3.49926072
F28	Drought sensitive	Jul.19	75	4	59.05278737	36.1124815	3.552047361
F29	Drought tolerant	Jul.19	0	4	71.06949236	24.05125678	3.154263184
F30	Drought sensitive	Jul.19	50	4	60.89965398	28.4725655	8.106772121
F31	Drought tolerant	Jul.19	75	4	62.1541502	32.70750988	3.112648221
F32	Drought sensitive	Jul.19	25	4	76.1223483	18.79625062	3.404045387
F33	Drought sensitive	Jul.19	0	5	58.98321816	33.81046397	5.281342547
F34	Drought tolerant	Jul.19	75	5	57.03703704	35.95061728	4.641975309
F35	Drought tolerant	Jul.19	0	5	61.20434353	27.64067127	4.343534057
F36	Drought tolerant	Jul.19	50	5	62.60525012	29.32144626	5.052005944
F37	Drought sensitive	Jul.19	25	5	59.3951413	32.47397124	6.098165592
F38	Drought tolerant	Jul.19	25	5	71.25246548	23.66863905	3.648915187
F39	Drought sensitive	Jul.19	50	5	60.42490119	28.55731225	7.90513834
F40	Drought sensitive	Jul.19	75	5	65.4016757	15.82060128	17.39773287
F41	Drought sensitive	Jul.19	50	6	62.7895515	32.57762445	3.794972893
F42	Drought tolerant	Jul.19	75	6	45.38727183	48.93931919	2.910705476
F43	Drought sensitive	Jul.19	25	6	53.50098619	34.86193294	10.00986193
F44	Drought sensitive	Jul.19	0	6	69.49236077	26.02267127	3.548546082
F45	Drought tolerant	Jul.19	50	6	58.13609467	29.78303748	11.14398422
F46	Drought tolerant	Jul.19	0	6	56.86080948	37.16683119	4.392892399
F47	Drought sensitive	Jul.19	75	6	62.67258383	31.65680473	3.846153846
F48	Drought tolerant	Jul.19	25	6	56.65680473	35.8974359	5.769230769
H1	Drought sensitive	Aug.1	25	1	45.36945813	39.95073892	5.763546798
