	abundance	phyla	date	treatment
324	39.37621832	Thaumarchaeota	Aug.1	50
325	54.72709552	Thaumarchaeota	Aug.1	25
326	55.84795322	Thaumarchaeota	Aug.1	25
327	64.13255361	Thaumarchaeota	Aug.1	50
328	61.01364522	Thaumarchaeota	Aug.1	75
329	21.58869396	Thaumarchaeota	Aug.1	50
330	22.07602339	Thaumarchaeota	Aug.1	75
331	22.7582846	Thaumarchaeota	Aug.1	25
332	24.07407407	Thaumarchaeota	Aug.1	0
333	20.90643275	Thaumarchaeota	Aug.1	50
334	19.83430799	Thaumarchaeota	Aug.1	0
335	23.39181287	Thaumarchaeota	Aug.1	75
336	21.53996101	Thaumarchaeota	Aug.1	25
337	27.64505119	Actinobacteria	May.10	25
338	29.33723197	Actinobacteria	May.10	0
339	30.70175439	Actinobacteria	May.10	75
340	28.65497076	Actinobacteria	May.10	0
341	30.65302144	Actinobacteria	May.10	50
342	31.96881092	Actinobacteria	May.10	75
343	33.38206628	Actinobacteria	May.10	25
344	34.74658869	Actinobacteria	May.10	50
345	15.05847953	Actinobacteria	May.10	0
346	18.03118908	Actinobacteria	May.10	75
347	20.32163743	Actinobacteria	May.10	25
348	22.417154	Actinobacteria	May.10	50
349	26.02339181	Actinobacteria	May.10	25
350	25.19493177	Actinobacteria	May.10	50
351	31.7251462	Actinobacteria	May.10	75
352	23.29434698	Actinobacteria	May.10	0
353	16.47173489	Actinobacteria	May.10	75
354	16.76413255	Actinobacteria	May.10	0
355	19.73684211	Actinobacteria	May.10	50
356	21.9785575	Actinobacteria	May.10	25
357	17.10526316	Actinobacteria	May.10	25
358	23.92787524	Actinobacteria	May.10	50
359	26.51072125	Actinobacteria	May.10	0
360	23.73294347	Actinobacteria	May.10	75
361	20.12670565	Actinobacteria	May.10	25
362	20.56530214	Actinobacteria	May.10	50
363	20.56530214	Actinobacteria	May.10	0
364	23.34307992	Actinobacteria	May.10	75
365	23.63547758	Actinobacteria	May.10	0
366	23.0994152	Actinobacteria	May.10	50
367	21.24756335	Actinobacteria	May.10	75
368	23.00194932	Actinobacteria	May.10	25
369	22.61208577	Actinobacteria	May.10	0
370	24.90253411	Actinobacteria	May.10	75
371	23.05068226	Actinobacteria	May.10	0
372	24.26900585	Actinobacteria	May.10	50
373	29.81651376	Actinobacteria	May.10	25
374	26.41325536	Actinobacteria	May.10	25
375	22.22222222	Actinobacteria	May.10	50
376	24.61013645	Actinobacteria	May.10	75
377	29.62962963	Actinobacteria	May.10	50
378	25.14619883	Actinobacteria	May.10	75
379	22.90448343	Actinobacteria	May.10	25
380	23.50073135	Actinobacteria	May.10	0
381	20.56530214	Actinobacteria	May.10	50
382	22.95321637	Actinobacteria	May.10	0
383	23.5380117	Actinobacteria	May.10	75
384	28.50877193	Actinobacteria	May.10	25
385	28.84990253	Actinobacteria	May.24	25
386	27.87524366	Actinobacteria	May.24	0
387	31.48148148	Actinobacteria	May.24	75
388	28.89863548	Actinobacteria	May.24	0
389	45.80896686	Actinobacteria	May.24	50
390	27.92397661	Actinobacteria	May.24	75
391	29.33723197	Actinobacteria	May.24	25
392	33.52826511	Actinobacteria	May.24	50
393	23.68421053	Actinobacteria	May.24	0
394	23.97660819	Actinobacteria	May.24	75
395	25.04873294	Actinobacteria	May.24	25
396	32.69980507	Actinobacteria	May.24	50
397	27.33918129	Actinobacteria	May.24	25
398	29.62962963	Actinobacteria	May.24	50
399	27.72904483	Actinobacteria	May.24	75
400	30.11695906	Actinobacteria	May.24	0
401	23.58674464	Actinobacteria	May.24	75
402	25.09746589	Actinobacteria	May.24	0
403	27.04678363	Actinobacteria	May.24	50
404	24.70760234	Actinobacteria	May.24	25
405	25.73099415	Actinobacteria	May.24	25
406	32.40740741	Actinobacteria	May.24	50
407	29.62962963	Actinobacteria	May.24	0
408	29.04483431	Actinobacteria	May.24	75
409	27.77777778	Actinobacteria	May.24	25
410	32.04878049	Actinobacteria	May.24	50
411	30.70175439	Actinobacteria	May.24	0
412	28.41130604	Actinobacteria	May.24	75
413	29.53216374	Actinobacteria	May.24	0
414	29.53216374	Actinobacteria	May.24	50
415	27.09551657	Actinobacteria	May.24	75
416	27.87524366	Actinobacteria	May.24	25
417	28.46003899	Actinobacteria	May.24	0
418	27.38791423	Actinobacteria	May.24	75
419	28.31384016	Actinobacteria	May.24	0
420	27.582846	Actinobacteria	May.24	50
421	28.03510483	Actinobacteria	May.24	25
422	29.28849903	Actinobacteria	May.24	25
423	29.77582846	Actinobacteria	May.24	50
424	28.94736842	Actinobacteria	May.24	75
425	30.84795322	Actinobacteria	May.24	50
426	30.99415205	Actinobacteria	May.24	75
427	31.23781676	Actinobacteria	May.24	25
428	30.36062378	Actinobacteria	May.24	0
429	26.26705653	Actinobacteria	May.24	50
430	24.6588694	Actinobacteria	May.24	0
431	25.58479532	Actinobacteria	May.24	75
432	32.0662768	Actinobacteria	May.24	25
433	29.23976608	Actinobacteria	Jun.7	25
434	29.67836257	Actinobacteria	Jun.7	0
435	31.23781676	Actinobacteria	Jun.7	75
436	30.9454191	Actinobacteria	Jun.7	0
437	28.41130604	Actinobacteria	Jun.7	50
438	32.21247563	Actinobacteria	Jun.7	75
439	32.01754386	Actinobacteria	Jun.7	25
440	34.58536585	Actinobacteria	Jun.7	50
441	28.31384016	Actinobacteria	Jun.7	0
442	26.41325536	Actinobacteria	Jun.7	75
443	28.60623782	Actinobacteria	Jun.7	25
444	29.62962963	Actinobacteria	Jun.7	50
445	31.67641326	Actinobacteria	Jun.7	25
446	30.89668616	Actinobacteria	Jun.7	50
447	32.99220273	Actinobacteria	Jun.7	75
448	35.67251462	Actinobacteria	Jun.7	0
449	26.41325536	Actinobacteria	Jun.7	75
450	26.18235007	Actinobacteria	Jun.7	0
451	27.19298246	Actinobacteria	Jun.7	50
452	26.99805068	Actinobacteria	Jun.7	25
453	29.14230019	Actinobacteria	Jun.7	25
454	31.18908382	Actinobacteria	Jun.7	50
455	29.67836257	Actinobacteria	Jun.7	0
456	34.11306043	Actinobacteria	Jun.7	75
457	32.30994152	Actinobacteria	Jun.7	25
458	30.75048733	Actinobacteria	Jun.7	50
459	27.04678363	Actinobacteria	Jun.7	0
460	27.87524366	Actinobacteria	Jun.7	75
461	30.42418333	Actinobacteria	Jun.7	0
462	31.48148148	Actinobacteria	Jun.7	50
463	27.68031189	Actinobacteria	Jun.7	75
464	29.97076023	Actinobacteria	Jun.7	25
465	30.01949318	Actinobacteria	Jun.7	0
466	30.96050707	Actinobacteria	Jun.7	75
467	27.92397661	Actinobacteria	Jun.7	0
468	28.75243665	Actinobacteria	Jun.7	50
469	26.9005848	Actinobacteria	Jun.7	25
