	cultivar	date	treatment
F21	Drought sensitive	Jul.19	25
F22	Drought tolerant	Jul.19	50
F23	Drought sensitive	Jul.19	0
F24	Drought tolerant	Jul.19	75
F26	Drought tolerant	Jul.19	50
F27	Drought sensitive	Jul.19	0
F28	Drought sensitive	Jul.19	75
F29	Drought tolerant	Jul.19	0
F30	Drought sensitive	Jul.19	50
F31	Drought tolerant	Jul.19	75
F32	Drought sensitive	Jul.19	25
F34	Drought tolerant	Jul.19	75
F35	Drought tolerant	Jul.19	0
F36	Drought tolerant	Jul.19	50
F37	Drought sensitive	Jul.19	25
F38	Drought tolerant	Jul.19	25
F39	Drought sensitive	Jul.19	50
F40	Drought sensitive	Jul.19	75
F42	Drought tolerant	Jul.19	75
F43	Drought sensitive	Jul.19	25
F44	Drought sensitive	Jul.19	0
F45	Drought tolerant	Jul.19	50
F46	Drought tolerant	Jul.19	0
F47	Drought sensitive	Jul.19	75
F48	Drought tolerant	Jul.19	25
H2	Drought tolerant	Aug.1	0
H3	Drought tolerant	Aug.1	75
H4	Drought sensitive	Aug.1	0
H5	Drought sensitive	Aug.1	50
H6	Drought sensitive	Aug.1	75
H7	Drought tolerant	Aug.1	25
H8	Drought tolerant	Aug.1	50
H9	Drought tolerant	Aug.1	0
H10	Drought tolerant	Aug.1	75
H11	Drought sensitive	Aug.1	25
H12	Drought sensitive	Aug.1	50
H13	Drought tolerant	Aug.1	25
H14	Drought tolerant	Aug.1	50
H15	Drought sensitive	Aug.1	75
H16	Drought sensitive	Aug.1	0
H17	Drought sensitive	Aug.1	75
H18	Drought tolerant	Aug.1	0
H19	Drought sensitive	Aug.1	50
H20	Drought tolerant	Aug.1	25
H21	Drought sensitive	Aug.1	25
H22	Drought tolerant	Aug.1	50
H23	Drought sensitive	Aug.1	0
H24	Drought tolerant	Aug.1	75
H25	Drought tolerant	Aug.1	25
H26	Drought tolerant	Aug.1	50
H27	Drought sensitive	Aug.1	0
H28	Drought sensitive	Aug.1	75
H29	Drought tolerant	Aug.1	0
H30	Drought sensitive	Aug.1	50
H31	Drought tolerant	Aug.1	75
H32	Drought sensitive	Aug.1	25
H34	Drought sensitive	Aug.1	0
H35	Drought tolerant	Aug.1	0
H36	Drought tolerant	Aug.1	50
H37	Drought sensitive	Aug.1	25
H38	Drought tolerant	Aug.1	25
H39	Drought sensitive	Aug.1	50
H40	Drought sensitive	Aug.1	75
H41	Drought sensitive	Aug.1	50
H42	Drought tolerant	Aug.1	75
H43	Drought sensitive	Aug.1	25
H44	Drought sensitive	Aug.1	0
H45	Drought tolerant	Aug.1	50
H46	Drought tolerant	Aug.1	0
H47	Drought sensitive	Aug.1	75
H48	Drought tolerant	Aug.1	25
