	Shannon	Inverse_Simpson	OTU_richness	PD	Chao1	ACE	cultivar	date	treatment	Shannon	block
D15	6.489306973	0.996520297	1041	66.8039	2399.314286	2588.676759	Drought sensitive	Jun.21	75	6.489306973	2
D16	6.498466047	0.996410101	1069	70.36693	2593.306818	2864.395853	Drought sensitive	Jun.21	0	6.498466047	2
D17	6.453422082	0.996018243	1065	64.91731	2783.564417	3161.148028	Drought sensitive	Jun.21	75	6.453422082	3
D18	6.302651205	0.994965212	978	62.17768	2367.363057	2619.20243	Drought tolerant	Jun.21	0	6.302651205	3
D19	6.266967905	0.995018885	950	62.77355	2075.123529	2403.505955	Drought sensitive	Jun.21	50	6.266967905	3
D20	6.408388234	0.995547538	1059	65.10833	2687.639535	3157.989052	Drought tolerant	Jun.21	25	6.408388234	3
D21	6.416238279	0.995843925	1045	66.93068	2726.31875	3156.472153	Drought sensitive	Jun.21	25	6.416238279	3
D22	6.451330667	0.996288982	1043	65.47056	2772.594771	3078.290994	Drought tolerant	Jun.21	50	6.451330667	3
D23	6.452210549	0.995898073	1067	66.29457	3034.210884	3261.695402	Drought sensitive	Jun.21	0	6.452210549	3
D24	6.529548542	0.996349779	1121	69.63462	3168.561728	3670.914423	Drought tolerant	Jun.21	75	6.529548542	3
D25	6.575753907	0.996780111	1127	71.99567	3182.223602	3640.849246	Drought tolerant	Jun.21	25	6.575753907	4
D26	6.446602862	0.995404569	1066	69.07305	2700.617647	3190.917177	Drought tolerant	Jun.21	50	6.446602862	4
D27	6.508287006	0.99596267	1098	71.81143	2849.624277	3361.916276	Drought sensitive	Jun.21	0	6.508287006	4
D28	6.457292967	0.995703331	1087	68.28113	3130.07947	3423.379873	Drought sensitive	Jun.21	75	6.457292967	4
D29	6.461461525	0.995699531	1088	70.60028	3149.94	3357.260981	Drought tolerant	Jun.21	0	6.461461525	4
D30	6.444277611	0.995722805	1068	66.37935	2822.030488	3340.161288	Drought sensitive	Jun.21	50	6.444277611	4
D31	6.442107491	0.996132238	1041	67.7953	2538.727811	2866.217877	Drought tolerant	Jun.21	75	6.442107491	4
D32	6.434320317	0.996228184	1041	69.68258	2831.704698	3052.692517	Drought sensitive	Jun.21	25	6.434320317	4
D33	6.583296063	0.996755887	1133	71.72815	3110.236686	3628.170092	Drought sensitive	Jun.21	0	6.583296063	5
D34	6.571553982	0.99715677	1089	68.6739	2782.171598	3227.07969	Drought tolerant	Jun.21	75	6.571553982	5
D35	6.512796904	0.99656352	1081	71.68751	2924.980769	3094.373727	Drought tolerant	Jun.21	0	6.512796904	5
D36	6.550762144	0.996920705	1085	70.67866	2685.142045	3196.993747	Drought tolerant	Jun.21	50	6.550762144	5
D37	6.423647533	0.995787403	1022	65.73847	2396.035294	2679.225959	Drought sensitive	Jun.21	25	6.423647533	5
D38	6.527065451	0.996786286	1086	69.97309	2908.814815	3334.357471	Drought tolerant	Jun.21	25	6.527065451	5
D39	6.541956245	0.996743537	1081	69.07106	2735.077381	2936.466667	Drought sensitive	Jun.21	50	6.541956245	5
D40	6.492787354	0.996301806	1086	70.28068	2836.623529	3213.468281	Drought sensitive	Jun.21	75	6.492787354	5
D41	6.543726336	0.996739738	1105	70.27843	3146.354839	3595.999772	Drought sensitive	Jun.21	50	6.543726336	6
D42	6.523536708	0.997042775	1074	70.81824	2917.980769	3269.49538	Drought tolerant	Jun.21	75	6.523536708	6
D43	6.476335468	0.996256208	1047	67.42294	2599.079268	2834.230101	Drought sensitive	Jun.21	25	6.476335468	6
D44	6.541400234	0.99679341	1090	72.4442	3066.013245	3296.087848	Drought sensitive	Jun.21	0	6.541400234	6
D45	6.508015543	0.996585844	1081	71.77044	2940.246835	3346.982121	Drought tolerant	Jun.21	50	6.508015543	6
D46	6.537890892	0.996470899	1094	70.34451	2818.650888	3236.136369	Drought tolerant	Jun.21	0	6.537890892	6
D47	6.507538934	0.996880332	1051	67.89067	2834.114865	2990.763195	Drought sensitive	Jun.21	75	6.507538934	6
D48	6.546809106	0.996905506	1083	70.31931	2649.685714	2871.212351	Drought tolerant	Jun.21	25	6.546809106	6
E1	6.303996186	0.996638567	817	58.22403	1071.479167	1165.304919	Drought sensitive	Jul.5	25	6.303996186	1
E2	6.204709924	0.99585675	802	56.9781	1097.886076	1291.582049	Drought tolerant	Jul.5	0	6.204709924	1
E3	6.257073064	0.995891423	802	56.19403	1055.909091	1160.182817	Drought tolerant	Jul.5	75	6.257073064	1
E4	6.26187318	0.995583636	843	60.17381	1199.787234	1373.109781	Drought sensitive	Jul.5	0	6.26187318	1
E5	6.299796105	0.9958482	861	57.62695	1225.297959	1431.690435	Drought sensitive	Jul.5	50	6.299796105	1
E6	6.172790825	0.995181328	769	54.90019	984.9606987	1090.908214	Drought sensitive	Jul.5	75	6.172790825	1
E7	6.597419414	0.996984827	1122	72.40211	2882.762712	3259.539124	Drought tolerant	Jul.5	25	6.597419414	1
E8	6.666288754	0.997352462	1158	74.14541	3147.723529	3339.936621	Drought tolerant	Jul.5	50	6.666288754	1
E9	6.514496745	0.99597502	1111	73.99088	3052.818182	3446.793749	Drought tolerant	Jul.5	0	6.514496745	2
E10	6.404792703	0.996286607	1040	66.78757	2823.2	3360.025212	Drought tolerant	Jul.5	75	6.404792703	2
E11	6.602751179	0.99715202	1138	71.37552	3417.789474	3793.417924	Drought sensitive	Jul.5	25	6.602751179	2
E12	6.540341705	0.996705539	1105	72.04004	3092.518987	3430.436234	Drought sensitive	Jul.5	50	6.540341705	2
E13	6.554179652	0.996964878	1095	73.17115	2948.279503	3229.169819	Drought tolerant	Jul.5	25	6.554179652	2
E14	6.525073638	0.996660891	1101	70.92961	3078.5625	3469.743271	Drought tolerant	Jul.5	50	6.525073638	2
E15	6.590391348	0.996616243	1148	73.56576	3098.034091	3445.843799	Drought sensitive	Jul.5	75	6.590391348	2
E16	6.578348993	0.996638092	1137	74.36119	3192.006061	3621.169568	Drought sensitive	Jul.5	0	6.578348993	2
E17	6.398730154	0.995003686	1068	67.58774	3145.353741	3679.67253	Drought sensitive	Jul.5	75	6.398730154	3
E18	6.395133211	0.99525875	1077	69.46027	3719.298387	3930.376886	Drought tolerant	Jul.5	0	6.395133211	3
E19	6.414009854	0.995414069	1066	67.13539	2968.788462	3486.618027	Drought sensitive	Jul.5	50	6.414009854	3
E20	6.304677839	0.994340614	1037	66.28011	3118.9	3627.659468	Drought tolerant	Jul.5	25	6.304677839	3
E21	6.357512938	0.994977562	1034	64.35563	2767.846154	3311.562005	Drought sensitive	Jul.5	25	6.357512938	3
E22	6.496019555	0.996334105	1079	65.77692	2876.515337	3378.535119	Drought tolerant	Jul.5	50	6.496019555	3
E23	6.46751986	0.996362603	1067	64.32429	2969.564935	3581.240968	Drought sensitive	Jul.5	0	6.46751986	3
E24	6.50865889	0.996406302	1101	66.88981	2986.155689	3418.220954	Drought tolerant	Jul.5	75	6.50865889	3
E25	6.339531967	0.994706348	1029	65.86531	2821.945946	3114.816421	Drought tolerant	Jul.5	25	6.339531967	4
E26	6.493253524	0.995790728	1108	68.50242	3036.161677	3543.151681	Drought tolerant	Jul.5	50	6.493253524	4
E27	6.42153096	0.995522839	1057	64.10777	2770.97546	3194.524829	Drought sensitive	Jul.5	0	6.42153096	4
E28	6.423130559	0.995813527	1064	63.9419	3206.321429	3441.505907	Drought sensitive	Jul.5	75	6.423130559	4
E29	6.388163162	0.995166604	1056	66.2282	3228.306569	3599.106107	Drought tolerant	Jul.5	0	6.388163162	4
E30	6.482339281	0.996047217	1090	66.25736	3422.397059	3604.109219	Drought sensitive	Jul.5	50	6.482339281	4
E31	6.327590585	0.995283924	1012	61.01733	2583.240741	3049.182037	Drought tolerant	Jul.5	75	6.327590585	4
E32	6.397342173	0.995159479	1070	67.25801	3349.985294	3641.983759	Drought sensitive	Jul.5	25	6.397342173	4
E33	6.34035498	0.994519206	1028	64.93263	2984.496403	3141.483803	Drought sensitive	Jul.5	0	6.34035498	5
E34	6.273421994	0.994241818	1008	62.43448	3030.639098	3408.150349	Drought tolerant	Jul.5	75	6.273421994	5
E35	6.491075768	0.996193511	1097	69.9991	3682.085938	3804.561595	Drought tolerant	Jul.5	0	6.491075768	5
E36	6.388551723	0.994746722	1059	67.80682	2870.050633	3414.250121	Drought tolerant	Jul.5	50	6.388551723	5
E37	6.544900855	0.996999077	1086	70.2072	3042.147651	3076.339538	Drought sensitive	Jul.5	25	6.544900855	5
E38	6.411705634	0.995126706	1073	68.07358	3110	3483.212204	Drought tolerant	Jul.5	25	6.411705634	5
E39	6.491571932	0.995767454	1110	72.11709	3475.405594	3955.597494	Drought sensitive	Jul.5	50	6.491571932	5
E40	6.454617303	0.99573373	1073	67.40716	2722.653179	3170.799665	Drought sensitive	Jul.5	75	6.454617303	5
E41	6.406595644	0.994834593	1053	64.25611	2515.156425	3016.659336	Drought sensitive	Jul.5	50	6.406595644	6
E42	6.413070373	0.995515239	1052	67.07538	2949.804054	3311.530049	Drought tolerant	Jul.5	75	6.413070373	6
E43	6.346136504	0.994427535	1044	65.23549	3062.687943	3331.879318	Drought sensitive	Jul.5	25	6.346136504	6
E44	6.226085622	0.993413453	985	60.40414	2807.6	3168.265647	Drought sensitive	Jul.5	0	6.226085622	6
E45	6.460350695	0.995346146	1083	68.34669	2952.69375	3285.57763	Drought tolerant	Jul.5	50	6.460350695	6
E46	6.406244097	0.995775053	1041	64.86351	3270.609375	3431.168799	Drought tolerant	Jul.5	0	6.406244097	6
E47	6.41140459	0.995143805	1066	66.19134	3013.796053	3500.883044	Drought sensitive	Jul.5	75	6.41140459	6
