	Shannon	Inverse_Simpson	OTU_richness	Chao1	ACE	PD	cultivar	date	treatment	Shannon	block								
B35	3.772152241	0.91628916	248	386.9583333	421.9415024	20.35718	Drought tolerant	May.24	0	6.183297717	5								
B36	3.732430114	0.92899949	235	332.0588235	365.4072487	19.70458	Drought tolerant	May.24	50	6.295457596	5								
B37	3.332707049	0.878615836	225	360.7317073	369.1602061	18.4864	Drought sensitive	May.24	25	6.199473582	5								
B38	1.886358723	0.72956393	71	117.75	123.1485654	9.38206	Drought tolerant	May.24	25	6.305213962	5								
B39	3.327033762	0.882881409	208	338.2857143	335.5779275	16.44877	Drought sensitive	May.24	50	6.366216503	5								
B40	3.460681469	0.891982819	230	418.3636364	395.0082721	16.8482	Drought sensitive	May.24	75	6.362057546	5								
B41	3.647563095	0.93532141	228	450.6774194	418.6368996	18.73807	Drought sensitive	May.24	50	6.285464223	6								
B42	3.39240403	0.877546652	219	369.4054054	394.8676436	15.4188	Drought tolerant	May.24	75	6.2992676	6								
B43	3.719361787	0.932082312	232	327.1176471	365.9891912	17.88293	Drought sensitive	May.24	25	6.335732607	6								
B44	3.702609805	0.914382295	222	341.3846154	359.9767234	19.52053	Drought sensitive	May.24	0	6.183966567	6								
B45	3.114239196	0.890591861	168	342.4166667	360.8295164	14.04495	Drought tolerant	May.24	50	6.278049074	6								
B46	3.486852466	0.896684705	217	362.9166667	373.5402321	17.85704	Drought tolerant	May.24	0	6.159775429	6								
B47	3.518977556	0.910967992	212	324.5789474	334.4297342	17.44214	Drought sensitive	May.24	75	6.191782365	6								
B48	3.510851946	0.925460458	208	370.0285714	402.5812863	15.4266	Drought tolerant	May.24	25	6.153638254	6								
C1	3.654925202	0.926641268	202	285.6	279.3726067	18.52943	Drought sensitive	Jun.7	25	6.245312332	1								
C2	3.88736413	0.94110704	248	388.6222222	413.3081471	18.56655	Drought tolerant	Jun.7	0	6.282509936	1								
C3	3.528925661	0.910790361	245	407.2727273	436.9607356	21.44105	Drought tolerant	Jun.7	75	6.385043519	1								
C4	3.627073049	0.922778034	257	418.8823529	455.1068818	20.79206	Drought sensitive	Jun.7	0	6.313509467	1								
C5	3.755060409	0.944914946	235	433.6363636	412.5399076	20.70266	Drought sensitive	Jun.7	50	6.376945173	1								
C6	3.680197213	0.942250479	217	361.45	393.592786	18.62481	Drought sensitive	Jun.7	75	6.271819563	1								
C7	3.710561361	0.927771118	241	446.6363636	425.5479081	21.4552	Drought tolerant	Jun.7	25	6.28589407	1								
C8	3.567566318	0.920760999	228	438	434.1743311	18.97786	Drought tolerant	Jun.7	50	6.323279211	1								
C9	3.460112699	0.912450193	221	418.75	404.4638818	18.27353	Drought tolerant	Jun.7	0	6.200431584	2								
C10	3.454034026	0.909073746	239	494	538.2882618	19.29523	Drought tolerant	Jun.7	75	6.233624577	2								
C11	3.772509764	0.935957679	244	415.025641	410.0236667	20.40498	Drought sensitive	Jun.7	25	6.404447592	2								
C12	3.551382341	0.91968502	229	383.5833333	361.4144724	19.63697	Drought sensitive	Jun.7	50	6.41300752	2								
C13	3.55095485	0.91930355	212	351.7941176	359.3559527	17.15718	Drought tolerant	Jun.7	25	6.385585101	2								
C14	3.394296582	0.891538256	226	436.9333333	400.4493323	16.86459	Drought tolerant	Jun.7	50	6.389372341	2								
C15	3.599240098	0.928014754	230	379.875	402.942037	17.02112	Drought sensitive	Jun.7	75	6.370995607	2								
C16	3.294367708	0.888808755	209	408.8333333	424.2348143	17.98568	Drought sensitive	Jun.7	0	6.36148956	2								
C17	3.417206021	0.909276614	217	377.5	395.3852859	17.17824	Drought sensitive	Jun.7	75	6.391680833	3								
C18	3.639424484	0.927444005	240	411.2439024	419.5702153	18.26599	Drought tolerant	Jun.7	0	6.367701828	3								
C19	3.684548206	0.928383606	232	353.7272727	369.3310872	20.49377	Drought sensitive	Jun.7	50	6.422113984	3								
C20	3.542048369	0.905301269	228	327	363.7831412	17.993	Drought tolerant	Jun.7	25	6.497909962	3								
C21	2.914233668	0.783143973	209	357.1538462	401.7407436	18.36274	Drought sensitive	Jun.7	25	6.508416245	3								
C22	3.74775773	0.929772557	221	322.6511628	341.8450667	15.93	Drought tolerant	Jun.7	50	6.638760245	3								
C23	3.826095959	0.937021524	266	506.7317073	519.4917249	19.99308	Drought sensitive	Jun.7	0	6.557419573	3								
C24	3.258626729	0.854153704	213	384.8484848	390.4436469	16.59555	Drought tolerant	Jun.7	75	6.425105044	3								
C25	3.357967526	0.900362542	226	391.5121951	427.0573578	19.09675	Drought tolerant	Jun.7	25	6.476468568	4								
C26	3.810271937	0.929377078	249	407.6666667	457.2523916	19.0363	Drought tolerant	Jun.7	50	6.449971072	4								
C27	3.197643824	0.873288359	223	429.1081081	472.1809723	15.28435	Drought sensitive	Jun.7	0	6.508544167	4								
C28	3.464749152	0.893541702	232	436	440.0614559	17.35423	Drought sensitive	Jun.7	75	6.385116404	4								
C29	3.332519233	0.883488558	202	336.75	357.6059726	16.89715	Drought tolerant	Jun.7	0	6.447517891	4								
C30	3.527827515	0.90228057	221	332.2195122	351.285382	16.20629	Drought sensitive	Jun.7	50	6.545069889	4								
C31	3.571926336	0.919121066	226	373.15	392.4069985	16.93376	Drought tolerant	Jun.7	75	6.335574373	4								
C32	3.26436664	0.889582373	202	315.75	327.2390128	14.17264	Drought sensitive	Jun.7	25	6.429081559	4								
C33	3.46117486	0.908267126	217	357	380.7437038	19.3975	Drought sensitive	Jun.7	0	6.390849435	5								
C34	3.685611197	0.926773763	235	346.1960784	407.7875072	19.41699	Drought tolerant	Jun.7	75	6.545006806	5								
C35	3.711471868	0.919843723	265	444.1428571	480.1283966	21.30826	Drought tolerant	Jun.7	0	6.515799126	5								
C36	3.448952101	0.896046009	220	377.7631579	406.2868925	16.58569	Drought tolerant	Jun.7	50	6.464361116	5								
C37	3.567196523	0.906661166	230	379.875	402.3189116	18.72674	Drought sensitive	Jun.7	25	6.445685643	5								
C38	3.486132052	0.883804509	234	339	378.2450284	21.29073	Drought tolerant	Jun.7	25	6.432781981	5								
C39	3.39540246	0.882032566	233	389.8863636	419.6085122	17.93812	Drought sensitive	Jun.7	50	6.456027107	5								
C40	3.25278496	0.872639472	205	319	350.9749004	14.84798	Drought sensitive	Jun.7	75	6.351080115	5								
C41	3.599863288	0.924006406	242	467.7777778	462.20672	18.94822	Drought sensitive	Jun.7	50	6.530394899	6								
C42	3.65092708	0.927673081	230	319.6792453	367.1096048	18.97329	Drought tolerant	Jun.7	75	6.497668411	6								
C43	3.637932295	0.918348904	223	322.3409091	341.3047586	16.48454	Drought sensitive	Jun.7	25	6.484928113	6								
C44	3.274020599	0.877915504	189	268	290.0007084	15.26195	Drought sensitive	Jun.7	0	6.535497186	6								
C45	3.352656561	0.877569463	213	358.5882353	361.6968278	17.60994	Drought tolerant	Jun.7	50	6.518526134	6								
C46	3.578787881	0.920548909	204	420.0454545	355.7687005	15.45617	Drought tolerant	Jun.7	0	6.477620485	6								
C47	3.402747615	0.892570555	215	360.5882353	361.5238104	18.70977	Drought sensitive	Jun.7	75	6.486107666	6								
C48	2.748519219	0.805226043	176	267.7368421	308.6772803	13.21354	Drought tolerant	Jun.7	25	6.515095773	6								
D1	3.712772058	0.936126574	236	441.0277778	452.073274	19.03256	Drought sensitive	Jun.21	25	6.322329739	1								
D2	2.549706206	0.750635055	142	316.7894737	356.02862	12.5012	Drought tolerant	Jun.21	0	6.507330732	1								
D3	3.627592097	0.918176127	232	463.0909091	473.4437251	19.16154	Drought tolerant	Jun.21	75	6.492995285	1								
D4	3.765784061	0.943815671	226	361.7317073	391.3802336	20.49262	Drought sensitive	Jun.21	0	6.47986405	1								
D5	3.414380448	0.929035405	183	308.15625	336.3073145	16.49781	Drought sensitive	Jun.21	50	6.484807203	1								
D6	3.973330207	0.957522871	217	346.6363636	353.5216286	17.3564	Drought sensitive	Jun.21	75	6.421188945	1								
D7	2.691226202	0.801647213	174	372.3703704	434.96763	14.82829	Drought tolerant	Jun.21	25	6.448257835	1								
D8	3.322792271	0.900485331	204	307.326087	356.6603448	19.0642	Drought tolerant	Jun.21	50	6.522269582	1								
D9	2.880310766	0.832191997	185	338.3225806	348.2448589	18.82529	Drought tolerant	Jun.21	0	6.445738723	2								
D10	2.90818193	0.830741828	169	332.1666667	337.4515203	17.28	Drought tolerant	Jun.21	75	6.334514863	2								
D11	1.729432479	0.536131913	121	223.1428571	253.788505	13.33912	Drought sensitive	Jun.21	25	6.403834225	2								
D12	3.597244037	0.913980441	214	317.0526316	331.6699132	19.63144	Drought sensitive	Jun.21	50	6.554120441	2								
D13	2.88531202	0.83820379	180	390	437.8456761	17.30906	Drought tolerant	Jun.21	25	6.478437365	2								
D14	3.208070403	0.886398117	192	333	334.0131237	15.28577	Drought tolerant	Jun.21	50	6.489350241	2								
D15	3.098752478	0.856373122	196	486.7142857	427.1788618	15.91724	Drought sensitive	Jun.21	75	6.489306973	2								
D16	3.105350456	0.908993666	177	333.483871	398.5966045	14.8193	Drought sensitive	Jun.21	0	6.498466047	2								
D17	3.546428399	0.908519983	261	443.6666667	515.7015828	21.45244	Drought sensitive	Jun.21	75	6.453422082	3								
D18	1.833961164	0.745267712	11	13	13.82347016	2.63808	Drought tolerant	Jun.21	0	6.302651205	3								
D19	3.622835179	0.920906598	243	423.0243902	428.1141188	18.18771	Drought sensitive	Jun.21	50	6.266967905	3								
D20	2.815558132	0.832821956	171	334.1666667	319.1686654	16.15281	Drought tolerant	Jun.21	25	6.408388234	3								
D21	3.470058367	0.864357301	230	367.3333333	374.3405095	21.07899	Drought sensitive	Jun.21	25	6.416238279	3								
D22	3.424029852	0.886638841	226	403	435.084689	17.57	Drought tolerant	Jun.21	50	6.451330667	3								
D23	3.491005039	0.900598413	214	342.5588235	338.9579113	18.38493	Drought sensitive	Jun.21	0	6.452210549	3								
D24	2.777110028	0.804903783	170	326.64	353.267853	15.7199	Drought tolerant	Jun.21	75	6.529548542	3								
D25	3.556360369	0.926479653	218	383	394.5961268	16.36904	Drought tolerant	Jun.21	25	6.575753907	4								
D26	3.366917419	0.891175714	198	444.5652174	429.2643022	13.77131	Drought tolerant	Jun.21	50	6.446602862	4								
D27	3.371727178	0.865235749	224	327.0612245	372.6878738	17.68053	Drought sensitive	Jun.21	0	6.508287006	4								
D28	3.58221358	0.885043558	238	393.1162791	441.4445514	20.53678	Drought sensitive	Jun.21	75	6.457292967	4								
D29	3.178128967	0.833422311	193	299.8857143	325.897071	16.92961	Drought tolerant	Jun.21	0	6.461461525	4								
D30	3.448843893	0.874859375	233	398.1538462	416.4874271	20.50266	Drought sensitive	Jun.21	50	6.444277611	4								
D31	2.895060563	0.81375088	186	296.6756757	352.1939281	17.22743	Drought tolerant	Jun.21	75	6.442107491	4								
D32	3.734279779	0.932439516	235	428.8857143	423.4773705	18.98123	Drought sensitive	Jun.21	25	6.434320317	4								
D33	3.439515097	0.910116722	230	368.75	391.9616253	15.26561	Drought sensitive	Jun.21	0	6.583296063	5								
D34	3.532885988	0.922195152	220	355.0238095	396.3221602	19.87838	Drought tolerant	Jun.21	75	6.571553982	5								
D35	3.771946545	0.932680725	244	431.575	446.5752386	22.19621	Drought tolerant	Jun.21	0	6.512796904	5								
D36	3.378122198	0.907439637	207	327.6756757	329.6590784	19.15118	Drought tolerant	Jun.21	50	6.550762144	5								
D37	3.4878603	0.904578126	216	372.0909091	357.9605181	19.93395	Drought sensitive	Jun.21	25	6.423647533	5								
D38	3.067860788	0.871857119	186	304.1351351	371.2862193	15.9514	Drought tolerant	Jun.21	25	6.527065451	5								
D39	3.083440755	0.868034653	208	505.5	450.6488295	18.75725	Drought sensitive	Jun.21	50	6.541956245	5								
D40	3.462199247	0.877732049	231	387.0714286	433.523409	19.23636	Drought sensitive	Jun.21	75	6.492787354	5								
D41	3.629615105	0.921461331	222	360.2368421	364.96061	19.32518	Drought sensitive	Jun.21	50	6.543726336	6								
D42	3.84069095	0.94759009	255	448.7173913	496.1260712	20.58164	Drought tolerant	Jun.21	75	6.523536708	6								
D43	3.776591894	0.932404572	238	420.0833333	424.9174521	21.31829	Drought sensitive	Jun.21	25	6.476335468	6								
D44	3.660789337	0.905100342	250	475.7777778	473.6767108	21.05016	Drought sensitive	Jun.21	0	6.541400234	6								
D45	3.596219004	0.901966075	235	385.0652174	467.9893068	19.85103	Drought tolerant	Jun.21	50	6.508015543	6								
D46	3.540971385	0.911233468	212	320.7777778	320.9625912	17.52455	Drought tolerant	Jun.21	0	6.537890892	6								
D47	3.570184878	0.917648087	235	437.7837838	450.3251119	19.63527	Drought sensitive	Jun.21	75	6.507538934	6								
D48	3.607591105	0.914596326	245	394.3829787	427.0740376	18.84501	Drought tolerant	Jun.21	25	6.546809106	6								
