	cultivar	date	treatment	block	Thaumarchaeota	Actinobacteria	Proteobacteria	Acidobacteria	Verrucomicrobia	Bacteroidetes	Planctomycetes	Firmicutes
B14	Drought tolerant	May.24	50	2	13.93762183	29.62962963	21.53996101	15.59454191	3.313840156	2.485380117	3.849902534	1.656920078
B15	Drought sensitive	May.24	75	2	11.06237817	27.72904483	22.12475634	16.32553606	5.019493177	3.801169591	3.313840156	0.877192982
B16	Drought sensitive	May.24	0	2	17.49512671	30.11695906	20.32163743	14.32748538	3.849902534	2.436647173	2.582846004	1.023391813
B17	Drought sensitive	May.24	75	3	16.13060429	23.58674464	23.05068226	18.03118908	5.019493177	3.50877193	1.998050682	0.779727096
B18	Drought tolerant	May.24	0	3	18.66471735	25.09746589	21.78362573	16.47173489	3.898635478	2.339181287	2.631578947	1.218323587
B19	Drought sensitive	May.24	50	3	11.89083821	27.04678363	25.58479532	13.54775828	3.898635478	5.019493177	1.949317739	4.62962963
B20	Drought tolerant	May.24	25	3	16.32553606	24.70760234	21.6374269	16.0331384	6.140350877	1.754385965	3.167641326	1.364522417
B21	Drought sensitive	May.24	25	3	17.34892788	25.73099415	21.9785575	15.44834308	4.337231969	1.559454191	2.777777778	0.925925926
B22	Drought tolerant	May.24	50	3	13.25536062	32.40740741	22.80701754	13.59649123	3.167641326	2.339181287	2.972709552	2.144249513
B23	Drought sensitive	May.24	0	3	13.69395712	29.62962963	23.05068226	15.30214425	3.070175439	1.754385965	2.875243665	1.559454191
B24	Drought tolerant	May.24	75	3	17.39766082	29.04483431	20.66276803	15.00974659	5.555555556	1.461988304	2.729044834	1.072124756
B25	Drought tolerant	May.24	25	4	17.98245614	27.77777778	22.17348928	13.88888889	3.362573099	2.777777778	2.2417154	1.461988304
B26	Drought tolerant	May.24	50	4	16.48780488	32.04878049	20.58536585	13.85365854	2.87804878	2.87804878	2.097560976	1.024390244
B27	Drought sensitive	May.24	0	4	17.20272904	30.70175439	23.0994152	12.13450292	3.557504873	2.875243665	2.436647173	1.218323587
B28	Drought sensitive	May.24	75	4	14.66861598	28.41130604	22.66081871	12.52436647	3.021442495	7.699805068	2.631578947	1.559454191
B29	Drought tolerant	May.24	0	4	17.9337232	29.53216374	18.03118908	15.83820663	4.385964912	2.144249513	2.875243665	0.974658869
B30	Drought sensitive	May.24	50	4	16.22807018	29.53216374	20.85769981	15.39961014	3.557504873	2.923976608	2.680311891	1.218323587
B31	Drought tolerant	May.24	75	4	15.39961014	27.09551657	23.8791423	11.40350877	4.824561404	3.411306043	1.559454191	5.799220273
B32	Drought sensitive	May.24	25	4	18.07992203	27.87524366	22.90448343	13.30409357	4.532163743	3.460038986	1.851851852	1.656920078
B33	Drought sensitive	May.24	0	5	18.2748538	28.46003899	22.85575049	11.74463938	3.070175439	2.53411306	2.729044834	2.53411306
B34	Drought tolerant	May.24	75	5	16.08187135	27.38791423	24.6588694	12.23196881	2.290448343	5.653021442	1.900584795	2.095516569
B35	Drought tolerant	May.24	0	5	18.71345029	28.31384016	22.70955166	11.79337232	3.070175439	3.118908382	2.046783626	1.608187135
B36	Drought tolerant	May.24	50	5	17.00779727	27.582846	24.85380117	12.57309942	2.777777778	4.191033138	2.53411306	2.192982456
B37	Drought sensitive	May.24	25	5	19.55143832	28.03510483	19.16138469	14.91955144	3.85177962	2.242808386	2.681618723	1.608971234
B38	Drought tolerant	May.24	25	5	18.76218324	29.28849903	20.90643275	12.28070175	3.65497076	4.239766082	1.949317739	1.998050682
B39	Drought sensitive	May.24	50	5	16.52046784	29.77582846	21.00389864	15.30214425	3.216374269	3.50877193	2.290448343	1.26705653
B40	Drought sensitive	May.24	75	5	19.20077973	28.94736842	21.92982456	12.81676413	3.216374269	3.50877193	2.38791423	1.364522417
B41	Drought sensitive	May.24	50	6	14.13255361	30.84795322	26.36452242	11.89083821	2.485380117	3.996101365	2.144249513	1.949317739
B42	Drought tolerant	May.24	75	6	15.05847953	30.99415205	19.20077973	13.54775828	2.826510721	1.851851852	3.021442495	1.510721248
B43	Drought sensitive	May.24	25	6	18.22612086	31.23781676	18.22612086	15.20467836	3.752436647	1.608187135	2.826510721	0.828460039
B44	Drought sensitive	May.24	0	6	19.63937622	30.36062378	20.80896686	12.13450292	2.777777778	2.38791423	2.290448343	2.777777778
B45	Drought tolerant	May.24	50	6	19.24951267	26.26705653	25.29239766	12.6705653	2.875243665	2.144249513	2.777777778	1.900584795
B46	Drought tolerant	May.24	0	6	20.1754386	24.6588694	22.80701754	10.33138402	2.777777778	3.070175439	2.875243665	2.046783626
B47	Drought sensitive	May.24	75	6	14.03508772	25.58479532	29.33723197	9.844054581	2.631578947	8.479532164	2.339181287	1.559454191
B48	Drought tolerant	May.24	25	6	14.32748538	32.0662768	22.27095517	10.76998051	2.729044834	3.216374269	2.192982456	5.506822612
C1	Drought sensitive	Jun.7	25	1	16.42300195	29.23976608	24.31773879	13.40155945	2.972709552	4.044834308	1.851851852	1.656920078
C2	Drought tolerant	Jun.7	0	1	17.05653021	29.67836257	22.61208577	15.39961014	2.972709552	1.851851852	2.777777778	1.072124756
C3	Drought tolerant	Jun.7	75	1	16.95906433	31.23781676	19.98050682	15.30214425	3.362573099	1.413255361	2.972709552	1.023391813
C4	Drought sensitive	Jun.7	0	1	18.46978558	30.9454191	19.49317739	14.71734893	2.826510721	1.364522417	3.65497076	1.072124756
C5	Drought sensitive	Jun.7	50	1	17.39766082	28.41130604	18.95711501	16.76413255	3.849902534	1.510721248	3.265107212	1.510721248
C6	Drought sensitive	Jun.7	75	1	17.39766082	32.21247563	20.41910331	13.88888889	2.826510721	2.144249513	2.680311891	1.754385965
C7	Drought tolerant	Jun.7	25	1	18.81091618	32.01754386	19.93177388	14.27875244	2.631578947	1.510721248	2.972709552	0.974658869
C8	Drought tolerant	Jun.7	50	1	16.68292683	34.58536585	20.63414634	13.26829268	2.43902439	2.195121951	2.634146341	1.219512195
C9	Drought tolerant	Jun.7	0	2	20.22417154	28.31384016	23.97660819	10.52631579	4.483430799	3.362573099	1.851851852	1.803118908
C10	Drought tolerant	Jun.7	75	2	19.24951267	26.41325536	21.73489279	16.17933723	4.337231969	1.1208577	2.631578947	0.925925926
C11	Drought sensitive	Jun.7	25	2	16.56920078	28.60623782	18.71345029	17.39766082	3.460038986	1.754385965	3.313840156	1.656920078
C12	Drought sensitive	Jun.7	50	2	16.27680312	29.62962963	19.54191033	16.47173489	2.680311891	2.095516569	3.265107212	0.925925926
C13	Drought tolerant	Jun.7	25	2	18.32358674	31.67641326	17.98245614	15.39961014	2.582846004	1.656920078	3.070175439	1.315789474
C14	Drought tolerant	Jun.7	50	2	16.32553606	30.89668616	19.98050682	14.86354776	3.752436647	1.218323587	3.167641326	1.510721248
C15	Drought sensitive	Jun.7	75	2	14.96101365	32.99220273	18.37231969	15.30214425	2.38791423	2.046783626	3.50877193	1.851851852
C16	Drought sensitive	Jun.7	0	2	13.30409357	35.67251462	21.68615984	11.93957115	2.875243665	1.998050682	2.875243665	1.413255361
C17	Drought sensitive	Jun.7	75	3	14.66861598	26.41325536	23.0994152	14.9122807	4.337231969	2.826510721	2.875243665	1.754385965
C18	Drought tolerant	Jun.7	0	3	15.89468552	26.18235007	24.52462214	12.87176987	4.534373476	3.169185763	2.779132131	1.608971234
C19	Drought sensitive	Jun.7	50	3	16.13060429	27.19298246	22.17348928	14.13255361	4.434697856	2.144249513	3.362573099	1.1208577
C20	Drought tolerant	Jun.7	25	3	15.10721248	26.99805068	21.2962963	13.4502924	4.824561404	2.339181287	3.118908382	1.072124756
C21	Drought sensitive	Jun.7	25	3	12.81676413	29.14230019	23.48927875	13.10916179	3.703703704	2.680311891	2.875243665	1.413255361
C22	Drought tolerant	Jun.7	50	3	12.62183236	31.18908382	23.58674464	10.96491228	3.65497076	3.362573099	3.898635478	1.608187135
C23	Drought sensitive	Jun.7	0	3	11.45224172	29.67836257	25.38986355	11.69590643	3.65497076	3.50877193	3.460038986	2.192982456
C24	Drought tolerant	Jun.7	75	3	9.69785575	34.11306043	23.97660819	10.52631579	2.339181287	4.434697856	3.606237817	3.216374269
C25	Drought tolerant	Jun.7	25	4	13.25536062	32.30994152	23.97660819	11.74463938	3.703703704	4.77582846	2.631578947	1.608187135
C26	Drought tolerant	Jun.7	50	4	13.74269006	30.75048733	24.07407407	12.47563353	2.826510721	3.849902534	2.729044834	2.095516569
C27	Drought sensitive	Jun.7	0	4	15.74074074	27.04678363	24.46393762	13.01169591	3.606237817	2.729044834	3.557504873	1.072124756
C28	Drought sensitive	Jun.7	75	4	15.59454191	27.87524366	20.85769981	14.08382066	5.555555556	2.680311891	2.192982456	2.095516569
C29	Drought tolerant	Jun.7	0	4	15.30960507	30.42418333	20.91662604	13.2618235	3.412969283	2.925402243	3.803022916	1.170160897
C30	Drought sensitive	Jun.7	50	4	12.71929825	31.48148148	21.53996101	14.61988304	4.044834308	2.2417154	2.582846004	0.877192982
C31	Drought tolerant	Jun.7	75	4	17.83625731	27.68031189	22.61208577	11.35477583	4.483430799	2.339181287	3.313840156	1.998050682
C32	Drought sensitive	Jun.7	25	4	13.30409357	29.97076023	23.05068226	12.47563353	4.434697856	4.337231969	2.38791423	2.339181287
C33	Drought sensitive	Jun.7	0	5	14.9122807	30.01949318	23.29434698	13.10916179	2.972709552	1.949317739	3.460038986	1.315789474
C34	Drought tolerant	Jun.7	75	5	13.06679668	30.96050707	23.25694783	11.16528523	3.169185763	2.437835202	4.485616772	1.413944417
C35	Drought tolerant	Jun.7	0	5	17.73879142	27.92397661	21.78362573	11.208577	3.021442495	2.582846004	3.898635478	1.900584795
C36	Drought tolerant	Jun.7	50	5	16.61793372	28.75243665	21.88109162	12.71929825	3.557504873	2.046783626	3.265107212	1.364522417
C37	Drought sensitive	Jun.7	25	5	16.27680312	26.9005848	21.44249513	12.23196881	3.50877193	2.53411306	3.606237817	1.510721248
C38	Drought tolerant	Jun.7	25	5	13.10916179	30.70175439	23.00194932	11.74463938	3.65497076	3.411306043	2.729044834	3.167641326
C39	Drought sensitive	Jun.7	50	5	13.98635478	32.16374269	19.00584795	12.23196881	3.703703704	2.729044834	3.557504873	1.413255361
C40	Drought sensitive	Jun.7	75	5	16.22807018	30.06822612	21.73489279	11.208577	4.580896686	2.485380117	3.313840156	1.413255361
C41	Drought sensitive	Jun.7	50	6	12.62183236	30.50682261	22.417154	14.08382066	3.118908382	2.680311891	3.898635478	1.169590643
C42	Drought tolerant	Jun.7	75	6	15.30214425	29.8245614	21.10136452	12.08576998	3.265107212	2.680311891	3.118908382	1.1208577
C43	Drought sensitive	Jun.7	25	6	15.64327485	26.99805068	20.56530214	13.54775828	4.385964912	2.680311891	4.288499025	1.608187135
C44	Drought sensitive	Jun.7	0	6	14.18128655	25.3411306	22.7582846	13.4502924	3.898635478	1.803118908	4.92202729	1.023391813
C45	Drought tolerant	Jun.7	50	6	14.32748538	29.62962963	23.44054581	10.62378168	3.460038986	3.070175439	4.239766082	2.436647173
C46	Drought tolerant	Jun.7	0	6	14.66861598	26.21832359	22.70955166	12.28070175	4.62962963	1.949317739	4.62962963	1.608187135
C47	Drought sensitive	Jun.7	75	6	14.37621832	30.50682261	21.2962963	13.791423	3.167641326	3.362573099	3.557504873	1.461988304
C48	Drought tolerant	Jun.7	25	6	12.14041931	32.17942467	23.50073135	10.67771819	4.290589956	3.461725987	3.705509508	1.511457825
D1	Drought sensitive	Jun.21	25	1	16.66666667	26.94931774	22.417154	13.59649123	5.068226121	3.313840156	2.192982456	1.705653021
D2	Drought tolerant	Jun.21	0	1	15.60214529	27.88883471	24.18332521	13.16431009	3.85177962	2.486591906	2.730375427	1.170160897
D3	Drought tolerant	Jun.21	75	1	16.13060429	27.82651072	21.83235867	12.76803119	3.557504873	3.703703704	3.606237817	1.315789474
D4	Drought sensitive	Jun.21	0	1	15.35087719	27.92397661	25.68226121	11.89083821	3.849902534	2.729044834	2.680311891	1.754385965
D5	Drought sensitive	Jun.21	50	1	16.08187135	25.48732943	22.66081871	14.96101365	4.142300195	2.923976608	3.849902534	2.2417154
D6	Drought sensitive	Jun.21	75	1	13.791423	27.29044834	26.94931774	11.25730994	2.53411306	4.337231969	3.557504873	3.021442495
D7	Drought tolerant	Jun.21	25	1	15.78947368	29.8245614	23.58674464	13.54775828	2.923976608	2.729044834	2.826510721	1.364522417
D8	Drought tolerant	Jun.21	50	1	14.5711501	29.33723197	22.56335283	13.98635478	3.313840156	2.38791423	4.288499025	1.1208577
D9	Drought tolerant	Jun.21	0	2	15.39961014	19.78557505	26.1208577	13.59649123	4.824561404	4.288499025	3.752436647	1.851851852
D10	Drought tolerant	Jun.21	75	2	16.95906433	23.78167641	24.61013645	13.49902534	6.384015595	2.729044834	1.705653021	2.875243665
D11	Drought sensitive	Jun.21	25	2	17.49512671	25.43859649	21.53996101	13.54775828	4.532163743	3.752436647	2.680311891	1.705653021
D12	Drought sensitive	Jun.21	50	2	15.15594542	24.07407407	24.02534113	14.66861598	4.142300195	3.50877193	4.191033138	1.608187135
D13	Drought tolerant	Jun.21	25	2	14.61988304	24.2202729	25.43859649	14.52241715	3.898635478	4.288499025	2.826510721	2.339181287
D14	Drought tolerant	Jun.21	50	2	14.86354776	24.70760234	24.95126706	13.06042885	3.801169591	5.360623782	2.923976608	2.875243665
D15	Drought sensitive	Jun.21	75	2	14.27875244	26.85185185	22.61208577	13.98635478	3.898635478	3.313840156	4.337231969	2.192982456
D16	Drought sensitive	Jun.21	0	2	13.791423	26.4619883	23.78167641	12.81676413	4.532163743	3.362573099	3.703703704	1.461988304
D17	Drought sensitive	Jun.21	75	3	15.44834308	24.80506823	26.36452242	12.86549708	4.580896686	4.77582846	2.290448343	1.26705653
D18	Drought tolerant	Jun.21	0	3	19.83430799	22.27095517	24.6588694	12.91423002	4.62962963	4.288499025	2.875243665	1.218323587
D19	Drought sensitive	Jun.21	50	3	18.51851852	25.48732943	23.29434698	12.76803119	5.506822612	2.826510721	2.729044834	1.1208577
D20	Drought tolerant	Jun.21	25	3	18.07992203	26.02339181	21.58869396	13.74269006	5.994152047	3.313840156	2.290448343	1.26705653
D21	Drought sensitive	Jun.21	25	3	16.08187135	27.38791423	23.14814815	12.96296296	4.093567251	3.65497076	2.826510721	1.851851852
D22	Drought tolerant	Jun.21	50	3	15.88693957	29.09356725	20.41910331	14.32748538	3.898635478	2.485380117	3.265107212	0.877192982
D23	Drought sensitive	Jun.21	0	3	16.86159844	30.31189084	20.27290448	15.39961014	2.972709552	1.705653021	2.729044834	0.974658869
D24	Drought tolerant	Jun.21	75	3	14.37621832	28.55750487	22.46588694	11.79337232	3.070175439	4.044834308	3.460038986	3.118908382
D25	Drought tolerant	Jun.21	25	4	12.3294347	26.4619883	25.7797271	13.01169591	3.752436647	4.434697856	3.313840156	1.218323587
